"sex","county name","cases","deaths","confirmed_case_hospitalization"
"Female","Irwin","534","15","60"
"Male","Irwin","555","10","50"
"Unknown","Irwin","3","0","0"
"Female","Jackson","10821","113","544"
"Male","Jackson","9369","164","598"
"Unknown","Jackson","76","0","1"
"Female","Jasper","1006","17","105"
"Male","Jasper","900","23","89"
"Unknown","Jasper","3","0","0"
"Female","Jeff Davis","1328","19","70"
"Male","Jeff Davis","1087","30","72"
"Female","Jefferson","1303","35","113"
"Male","Jefferson","1010","48","113"
"Unknown","Jefferson","7","0","0"
"Female","Jenkins","637","20","52"
"Male","Jenkins","489","25","56"
"Unknown","Jenkins","2","1","1"
"Female","Johnson","757","25","69"
"Male","Johnson","822","33","66"
"Unknown","Johnson","13","0","0"
"Female","Jones","2328","40","170"
"Male","Jones","1788","61","170"
"Female","Lamar","1993","44","127"
"Male","Lamar","1601","58","125"
"Unknown","Lamar","14","0","1"
"Female","Lanier","616","8","20"
"Male","Lanier","601","11","28"
"Unknown","Lanier","7","0","0"
"Female","Laurens","5264","112","227"
"Male","Laurens","3934","144","254"
"Unknown","Laurens","53","0","1"
"Female","Lee","2328","47","209"
"Male","Lee","1870","47","176"
"Unknown","Lee","20","0","1"
"Female","Liberty","6708","47","217"
"Male","Liberty","6017","62","216"
"Unknown","Liberty","23","0","0"
"Female","Lincoln","474","15","43"
"Male","Lincoln","422","14","46"
"Unknown","Lincoln","7","0","0"
"Female","Long","1433","10","59"
"Male","Long","1154","16","49"
"Unknown","Long","3","0","0"
"Female","Lowndes","9622","155","400"
"Male","Lowndes","7545","135","305"
"Unknown","Lowndes","62","0","2"
"Female","Lumpkin","4090","55","273"
"Male","Lumpkin","3407","59","251"
"Unknown","Lumpkin","21","0","0"
"Female","Macon","707","15","58"
"Male","Macon","632","29","66"
"Unknown","Macon","3","0","0"
"Female","Madison","3511","39","274"
"Male","Madison","2918","63","229"
"Unknown","Madison","10","0","0"
"Female","Marion","617","21","55"
"Male","Marion","421","22","48"
"Unknown","Marion","3","0","0"
"Female","McDuffie","1760","43","156"
"Male","McDuffie","1372","40","135"
"Unknown","McDuffie","45","0","1"
"Female","McIntosh","1203","18","51"
"Male","McIntosh","968","17","58"
"Unknown","McIntosh","1","0","0"
"Female","Meriwether","2115","67","191"
"Male","Meriwether","1596","58","150"
"Unknown","Meriwether","17","0","2"
"Female","Miller","790","7","35"
"Male","Miller","611","12","30"
"Unknown","Miller","3","0","0"
"Female","Mitchell","1822","48","181"
"Male","Mitchell","1514","56","162"
"Unknown","Mitchell","7","0","0"
"Female","Monroe","2364","68","147"
"Male","Monroe","1993","71","155"
"Unknown","Monroe","1","0","0"
"Female","Montgomery","807","22","43"
"Male","Montgomery","714","27","36"
"Unknown","Montgomery","9","0","0"
"Female","Morgan","1771","23","122"
"Male","Morgan","1447","35","119"
"Unknown","Morgan","20","0","0"
"Female","Murray","5386","71","207"
"Male","Murray","4569","107","230"
"Unknown","Murray","13","0","0"
"Female","Muscogee","20181","404","1422"
"Male","Muscogee","15194","347","1283"
"Unknown","Muscogee","201","0","1"
"Female","Newton","12046","197","1410"
"Male","Newton","8932","218","1116"
"Unknown","Newton","103","0","1"
"Female","Non-GA Resident/Unknown State","35722","419","1710"
"Male","Non-GA Resident/Unknown State","34252","597","2004"
"Unknown","Non-GA Resident/Unknown State","3467","0","171"
"Female","Oconee","4047","38","164"
"Male","Oconee","3551","59","166"
"Unknown","Oconee","16","0","0"
"Female","Oglethorpe","1478","22","127"
"Male","Oglethorpe","1142","32","112"
"Unknown","Oglethorpe","4","0","0"
"Female","Paulding","16589","160","421"
"Male","Paulding","13179","169","371"
"Unknown","Paulding","120","0","4"
"Female","Peach","2416","52","184"
"Male","Peach","1852","58","156"
"Female","Pickens","3104","56","268"
"Male","Pickens","2545","79","276"
"Unknown","Pickens","13","0","0"
"Female","Pierce","1631","43","140"
"Male","Pierce","1306","63","168"
"Unknown","Pierce","3","0","0"
"Female","Pike","1589","32","105"
"Male","Pike","1370","45","96"
"Unknown","Pike","7","0","1"
"Female","Polk","5542","83","382"
"Male","Polk","4611","89","343"
"Unknown","Polk","27","0","0"
"Female","Pulaski","826","30","42"
"Male","Pulaski","501","18","29"
"Unknown","Pulaski","33","0","0"
"Female","Putnam","2229","38","150"
"Male","Putnam","1821","65","170"
"Unknown","Putnam","1","0","0"
"Female","Quitman","162","1","10"
"Male","Quitman","99","2","13"
"Female","Rabun","1582","36","149"
"Male","Rabun","1421","48","130"
"Unknown","Rabun","6","0","0"
"Female","Randolph","530","27","74"
"Male","Randolph","383","16","49"
"Unknown","Randolph","3","0","0"
"Female","Richmond","22053","325","1274"
"Male","Richmond","18441","416","1284"
"Unknown","Richmond","192","0","6"
"Female","Rockdale","10399","159","1368"
"Male","Rockdale","7560","146","1001"
"Unknown","Rockdale","71","0","2"
"Female","Schley","314","5","18"
"Male","Schley","254","6","18"
"Unknown","Schley","1","0","0"
"Female","Screven","1118","16","66"
"Male","Screven","857","20","60"
"Unknown","Screven","6","0","0"
"Female","Seminole","968","12","72"
"Male","Seminole","825","15","50"
"Unknown","Seminole","5","0","0"
"Female","Spalding","6347","177","477"
"Male","Spalding","5142","190","398"
"Unknown","Spalding","32","0","0"
