"county_name","cases","county_id","State FIPS code","County FIPS code","population","confirmed_case_hospitalization","deaths","case rate","death rate","14 day case rate","14 day cases","antigen_cases","probable_deaths","antigen_case_hospitalization"
"Upson","4940","US-13293","13","293","26277","442","189","18799.71","719.26","60.89","16","4203","64","36"
"Walker","15190","US-13295","13","295","69610","629","217","21821.58","311.74","77.58","54","4198","56","84"
"Walton","18545","US-13297","13","297","95814","2060","417","19355.21","435.22","110.63","106","6618","52","49"
"Ware","6324","US-13299","13","299","35853","651","228","17638.69","635.93","39.05","14","4815","70","132"
"Warren","728","US-13301","13","301","5210","91","28","13973.13","537.43","95.97","5","528","7","7"
"Washington","3523","US-13303","13","303","20302","163","84","17352.97","413.75","44.33","9","1459","57","44"
"Wayne","6316","US-13305","13","305","29974","556","193","21071.6","643.89","156.8","47","2310","28","33"
"Webster","275","US-13307","13","307","2550","31","10","10784.31","392.16","39.22","1","241","0","3"
"Wheeler","983","US-13309","13","309","7909","50","35","12428.88","442.53","25.29","2","556","4","8"
"White","7430","US-13311","13","311","31758","552","155","23395.68","488.07","170.04","54","546","22","12"
"Whitfield","29779","US-13313","13","313","104672","1172","436","28449.82","416.54","91.72","96","8307","40","35"
"Wilcox","878","US-13315","13","315","8790","104","35","9988.62","398.18","11.38","1","1449","37","48"
"Wilkes","1178","US-13317","13","317","10014","164","38","11763.53","379.47","39.94","4","1396","17","31"
"Wilkinson","1843","US-13319","13","319","8919","177","56","20663.75","627.87","22.42","2","726","8","6"
"Worth","2550","US-13321","13","321","20142","321","97","12660.11","481.58","0","0","2769","28","48"
