"age group","county name","cases","deaths","confirmed_case_hospitalization"
"<1 years","Bulloch","127","0","7"
"Unknown years","Bulloch","1","0","0"
"01-04 years","Burke","60","0","1"
"05-09 years","Burke","110","0","0"
"10-17 years","Burke","281","0","4"
"18-29 years","Burke","627","2","18"
"30-39 years","Burke","512","2","23"
"40-49 years","Burke","498","5","27"
"50-59 years","Burke","439","6","42"
"60-69 years","Burke","360","14","57"
"70-79 years","Burke","184","24","61"
"80 & Older years","Burke","63","15","25"
"<1 years","Burke","24","0","0"
"Unknown years","Burke","3","0","0"
"01-04 years","Butts","107","0","4"
"05-09 years","Butts","135","0","0"
"10-17 years","Butts","373","0","7"
"18-29 years","Butts","958","0","17"
"30-39 years","Butts","866","2","15"
"40-49 years","Butts","776","6","32"
"50-59 years","Butts","805","20","64"
"60-69 years","Butts","583","29","70"
"70-79 years","Butts","383","46","66"
"80 & Older years","Butts","235","46","30"
"<1 years","Butts","47","0","3"
"Unknown years","Butts","2","0","0"
"01-04 years","Calhoun","29","0","0"
"05-09 years","Calhoun","25","0","0"
"10-17 years","Calhoun","73","0","1"
"18-29 years","Calhoun","182","0","9"
"30-39 years","Calhoun","187","3","8"
"40-49 years","Calhoun","168","1","11"
"50-59 years","Calhoun","149","4","21"
"60-69 years","Calhoun","122","4","30"
"70-79 years","Calhoun","50","7","12"
"80 & Older years","Calhoun","45","4","14"
"<1 years","Calhoun","7","0","0"
"01-04 years","Camden","290","0","0"
"05-09 years","Camden","438","0","2"
"10-17 years","Camden","987","0","3"
"18-29 years","Camden","2205","0","13"
"30-39 years","Camden","1770","3","27"
"40-49 years","Camden","1237","10","34"
"50-59 years","Camden","1289","17","44"
"60-69 years","Camden","920","27","62"
"70-79 years","Camden","545","20","45"
"80 & Older years","Camden","217","31","35"
"<1 years","Camden","87","0","2"
"Unknown years","Camden","9","0","0"
"01-04 years","Candler","25","0","0"
"05-09 years","Candler","50","0","0"
"10-17 years","Candler","134","0","0"
"18-29 years","Candler","258","0","2"
"30-39 years","Candler","209","0","8"
"40-49 years","Candler","210","5","5"
"50-59 years","Candler","239","13","24"
"60-69 years","Candler","163","12","25"
"70-79 years","Candler","113","15","25"
"80 & Older years","Candler","49","13","19"
"<1 years","Candler","20","0","1"
"01-04 years","Carroll","314","0","4"
"05-09 years","Carroll","506","0","5"
"10-17 years","Carroll","1510","0","7"
"18-29 years","Carroll","3612","0","28"
"30-39 years","Carroll","2540","3","29"
"40-49 years","Carroll","2266","12","51"
"50-59 years","Carroll","2200","20","81"
"60-69 years","Carroll","1480","39","113"
"70-79 years","Carroll","859","50","94"
"80 & Older years","Carroll","435","63","58"
"<1 years","Carroll","119","0","2"
"Unknown years","Carroll","14","0","7"
"01-04 years","Catoosa","318","0","2"
"05-09 years","Catoosa","506","0","2"
"10-17 years","Catoosa","1357","0","3"
"18-29 years","Catoosa","2556","1","19"
"30-39 years","Catoosa","2087","2","22"
"40-49 years","Catoosa","2072","5","45"
"50-59 years","Catoosa","1948","17","71"
"60-69 years","Catoosa","1345","22","91"
"70-79 years","Catoosa","875","41","105"
"80 & Older years","Catoosa","533","58","76"
"<1 years","Catoosa","110","0","1"
"Unknown years","Catoosa","22","0","0"
"01-04 years","Charlton","40","0","0"
"05-09 years","Charlton","66","0","0"
"10-17 years","Charlton","142","0","0"
"18-29 years","Charlton","568","0","4"
"30-39 years","Charlton","472","2","5"
"40-49 years","Charlton","368","3","13"
"50-59 years","Charlton","281","5","13"
"60-69 years","Charlton","244","12","35"
"70-79 years","Charlton","140","13","34"
"80 & Older years","Charlton","54","12","21"
"<1 years","Charlton","18","0","0"
"Unknown years","Charlton","1","0","0"
"01-04 years","Chatham","2246","0","21"
"05-09 years","Chatham","3151","1","13"
"10-17 years","Chatham","5977","0","43"
"18-29 years","Chatham","13927","8","238"
"30-39 years","Chatham","10596","27","339"
"40-49 years","Chatham","7867","48","383"
"50-59 years","Chatham","6872","98","568"
"60-69 years","Chatham","5177","174","745"
"70-79 years","Chatham","2751","232","712"
"80 & Older years","Chatham","1484","260","614"
"<1 years","Chatham","951","0","30"
"Unknown years","Chatham","24","0","2"
"01-04 years","Chattahoochee","33","0","0"
"05-09 years","Chattahoochee","71","0","0"
"10-17 years","Chattahoochee","244","0","2"
"18-29 years","Chattahoochee","5370","7","12"
"30-39 years","Chattahoochee","632","2","7"
"40-49 years","Chattahoochee","153","1","4"
"50-59 years","Chattahoochee","95","2","12"
"60-69 years","Chattahoochee","62","1","12"
"70-79 years","Chattahoochee","32","1","7"
"80 & Older years","Chattahoochee","16","3","6"
"<1 years","Chattahoochee","15","0","0"
"01-04 years","Chattooga","121","0","1"
"05-09 years","Chattooga","206","0","1"
"10-17 years","Chattooga","581","0","5"
"18-29 years","Chattooga","1011","0","13"
"30-39 years","Chattooga","846","3","17"
"40-49 years","Chattooga","838","7","42"
"50-59 years","Chattooga","843","18","56"
"60-69 years","Chattooga","616","27","72"
"70-79 years","Chattooga","405","24","84"
"80 & Older years","Chattooga","217","43","51"
"<1 years","Chattooga","57","0","5"
