"age group","county name","cases","deaths","confirmed_case_hospitalization"
"70-79 years","Richmond","2019","197","529"
"80 & Older years","Richmond","1099","232","400"
"<1 years","Richmond","307","0","20"
"Unknown years","Richmond","21","0","0"
"01-04 years","Rockdale","380","0","40"
"05-09 years","Rockdale","654","0","34"
"10-17 years","Rockdale","1629","0","91"
"18-29 years","Rockdale","3327","5","286"
"30-39 years","Rockdale","2840","5","311"
"40-49 years","Rockdale","2882","12","303"
"50-59 years","Rockdale","2881","32","381"
"60-69 years","Rockdale","1780","70","345"
"70-79 years","Rockdale","1007","89","316"
"80 & Older years","Rockdale","533","92","241"
"<1 years","Rockdale","110","0","17"
"Unknown years","Rockdale","7","0","6"
"01-04 years","Schley","14","0","0"
"05-09 years","Schley","21","0","0"
"10-17 years","Schley","65","0","0"
"18-29 years","Schley","95","0","3"
"30-39 years","Schley","78","0","0"
"40-49 years","Schley","90","0","5"
"50-59 years","Schley","86","2","8"
"60-69 years","Schley","59","1","8"
"70-79 years","Schley","43","6","9"
"80 & Older years","Schley","13","2","3"
"<1 years","Schley","5","0","0"
"01-04 years","Screven","38","0","2"
"05-09 years","Screven","82","0","0"
"10-17 years","Screven","230","0","1"
"18-29 years","Screven","332","0","9"
"30-39 years","Screven","308","1","7"
"40-49 years","Screven","253","4","14"
"50-59 years","Screven","262","6","23"
"60-69 years","Screven","241","6","26"
"70-79 years","Screven","143","10","25"
"80 & Older years","Screven","72","9","19"
"<1 years","Screven","19","0","0"
"Unknown years","Screven","1","0","0"
"01-04 years","Seminole","46","0","0"
"05-09 years","Seminole","64","0","0"
"10-17 years","Seminole","192","0","1"
"18-29 years","Seminole","297","0","5"
"30-39 years","Seminole","243","1","5"
"40-49 years","Seminole","220","0","11"
"50-59 years","Seminole","240","4","11"
"60-69 years","Seminole","242","7","36"
"70-79 years","Seminole","154","7","25"
"80 & Older years","Seminole","75","8","27"
"<1 years","Seminole","24","0","1"
"Unknown years","Seminole","1","0","0"
"01-04 years","Spalding","301","0","3"
"05-09 years","Spalding","391","0","1"
"10-17 years","Spalding","900","0","8"
"18-29 years","Spalding","2145","4","61"
"30-39 years","Spalding","1858","7","69"
"40-49 years","Spalding","1662","18","96"
"50-59 years","Spalding","1606","42","146"
"60-69 years","Spalding","1258","94","196"
"70-79 years","Spalding","816","103","170"
"80 & Older years","Spalding","454","99","118"
"<1 years","Spalding","119","0","5"
"Unknown years","Spalding","11","0","2"
"01-04 years","Stephens","103","0","3"
"05-09 years","Stephens","164","0","1"
"10-17 years","Stephens","545","0","3"
"18-29 years","Stephens","1162","1","28"
"30-39 years","Stephens","786","0","14"
"40-49 years","Stephens","892","1","31"
"50-59 years","Stephens","942","17","66"
"60-69 years","Stephens","866","36","100"
"70-79 years","Stephens","565","44","109"
"80 & Older years","Stephens","281","40","58"
"<1 years","Stephens","42","0","1"
"Unknown years","Stephens","1","0","0"
"01-04 years","Stewart","12","0","1"
"05-09 years","Stewart","24","0","0"
"10-17 years","Stewart","62","0","1"
"18-29 years","Stewart","819","0","24"
"30-39 years","Stewart","668","1","28"
"40-49 years","Stewart","417","2","25"
"50-59 years","Stewart","215","3","22"
"60-69 years","Stewart","114","16","35"
"70-79 years","Stewart","48","4","10"
"80 & Older years","Stewart","39","6","11"
"<1 years","Stewart","5","0","0"
"Unknown years","Stewart","8","0","0"
"01-04 years","Sumter","91","0","1"
"05-09 years","Sumter","144","0","0"
"10-17 years","Sumter","303","0","10"
"18-29 years","Sumter","807","2","30"
"30-39 years","Sumter","637","2","42"
"40-49 years","Sumter","580","12","47"
"50-59 years","Sumter","607","15","74"
"60-69 years","Sumter","487","36","103"
"70-79 years","Sumter","291","40","82"
"80 & Older years","Sumter","204","52","84"
"<1 years","Sumter","57","0","4"
"01-04 years","Talbot","33","0","1"
"05-09 years","Talbot","41","0","0"
"10-17 years","Talbot","83","0","1"
"18-29 years","Talbot","172","0","5"
"30-39 years","Talbot","125","0","4"
"40-49 years","Talbot","142","3","6"
"50-59 years","Talbot","162","6","15"
"60-69 years","Talbot","138","8","28"
"70-79 years","Talbot","74","8","14"
"80 & Older years","Talbot","43","7","16"
"<1 years","Talbot","8","0","0"
"01-04 years","Taliaferro","3","0","0"
"05-09 years","Taliaferro","3","0","0"
"10-17 years","Taliaferro","14","0","0"
"18-29 years","Taliaferro","34","0","2"
"30-39 years","Taliaferro","32","0","0"
"40-49 years","Taliaferro","34","0","3"
"50-59 years","Taliaferro","22","0","1"
"60-69 years","Taliaferro","31","1","4"
"70-79 years","Taliaferro","18","1","7"
"80 & Older years","Taliaferro","5","1","3"
"<1 years","Taliaferro","1","0","0"
"01-04 years","Tattnall","90","0","1"
"05-09 years","Tattnall","131","0","1"
"10-17 years","Tattnall","340","0","2"
"18-29 years","Tattnall","671","1","4"
"30-39 years","Tattnall","596","2","11"
"40-49 years","Tattnall","537","0","16"
"50-59 years","Tattnall","536","17","38"
"60-69 years","Tattnall","374","23","52"
"70-79 years","Tattnall","199","33","53"
"80 & Older years","Tattnall","74","8","17"
"<1 years","Tattnall","39","0","1"
"Unknown years","Tattnall","1","0","0"
"01-04 years","Taylor","34","0","2"
"05-09 years","Taylor","87","0","0"
"10-17 years","Taylor","124","0","1"
"18-29 years","Taylor","204","1","6"
"30-39 years","Taylor","155","1","5"
"40-49 years","Taylor","200","2","20"
"50-59 years","Taylor","158","4","25"
"60-69 years","Taylor","140","9","28"
"70-79 years","Taylor","78","12","22"
"80 & Older years","Taylor","53","12","16"
"<1 years","Taylor","12","0","1"
"01-04 years","Telfair","20","0","0"
"05-09 years","Telfair","33","0","0"
"10-17 years","Telfair","73","0","1"
"18-29 years","Telfair","262","0","4"
"30-39 years","Telfair","206","1","5"
"40-49 years","Telfair","206","2","8"
"50-59 years","Telfair","185","8","17"
"60-69 years","Telfair","165","13","25"
"70-79 years","Telfair","108","18","26"
"80 & Older years","Telfair","56","17","14"
"<1 years","Telfair","10","0","0"
"Unknown years","Telfair","1","0","0"
"01-04 years","Terrell","31","0","0"
"05-09 years","Terrell","45","0","0"
"10-17 years","Terrell","201","0","1"
"18-29 years","Terrell","178","0","10"
"30-39 years","Terrell","160","0","16"
"40-49 years","Terrell","145","2","16"
"50-59 years","Terrell","179","10","33"
"60-69 years","Terrell","157","14","49"
"70-79 years","Terrell","92","21","34"
"80 & Older years","Terrell","60","19","22"
"<1 years","Terrell","10","0","0"
"01-04 years","Thomas","325","1","2"
"05-09 years","Thomas","562","0","4"
"10-17 years","Thomas","1195","0","3"
"18-29 years","Thomas","1612","2","48"
"30-39 years","Thomas","1326","5","41"
"40-49 years","Thomas","1235","12","69"
"50-59 years","Thomas","1252","27","111"
"60-69 years","Thomas","930","33","167"
"70-79 years","Thomas","534","49","127"
"80 & Older years","Thomas","301","59","101"
"<1 years","Thomas","155","0","5"
"Unknown years","Thomas","3","0","0"
"01-04 years","Tift","178","0","8"
"05-09 years","Tift","242","0","5"
"10-17 years","Tift","580","0","13"
"18-29 years","Tift","1419","2","43"
"30-39 years","Tift","1052","4","55"
"40-49 years","Tift","951","11","80"
"50-59 years","Tift","829","20","97"
"60-69 years","Tift","655","31","116"
"70-79 years","Tift","401","49","118"
"80 & Older years","Tift","241","53","85"
"<1 years","Tift","92","0","5"
"Unknown years","Tift","2","0","0"
"01-04 years","Toombs","87","0","1"
"05-09 years","Toombs","152","0","0"
"10-17 years","Toombs","435","0","2"
"18-29 years","Toombs","1126","1","16"
"30-39 years","Toombs","883","2","10"
"40-49 years","Toombs","802","9","39"
"50-59 years","Toombs","822","20","43"
"60-69 years","Toombs","714","36","85"
"70-79 years","Toombs","470","49","58"
"80 & Older years","Toombs","256","58","47"
"<1 years","Toombs","40","0","2"
"01-04 years","Towns","21","0","0"
"05-09 years","Towns","32","0","1"
"10-17 years","Towns","100","0","2"
"18-29 years","Towns","294","0","5"
"30-39 years","Towns","194","1","6"
"40-49 years","Towns","237","3","7"
"50-59 years","Towns","368","9","33"
"60-69 years","Towns","446","13","36"
"70-79 years","Towns","348","21","61"
"80 & Older years","Towns","238","42","75"
"<1 years","Towns","9","0","0"
"Unknown years","Towns","2","0","0"
"01-04 years","Treutlen","20","0","0"
"05-09 years","Treutlen","38","0","1"
"10-17 years","Treutlen","97","0","1"
"18-29 years","Treutlen","231","0","4"
"30-39 years","Treutlen","208","0","6"
"40-49 years","Treutlen","181","5","7"
"50-59 years","Treutlen","169","3","12"
"60-69 years","Treutlen","122","8","17"
"70-79 years","Treutlen","88","19","14"
"80 & Older years","Treutlen","51","14","12"
"<1 years","Treutlen","2","0","0"
"Unknown years","Treutlen","1","0","0"
"01-04 years","Troup","400","0","3"
"05-09 years","Troup","553","0","1"
"10-17 years","Troup","1238","0","13"
"18-29 years","Troup","2840","3","50"
"30-39 years","Troup","2260","10","69"
"40-49 years","Troup","1878","14","80"
"50-59 years","Troup","1844","44","160"
"60-69 years","Troup","1328","68","157"
"70-79 years","Troup","738","77","144"
"80 & Older years","Troup","468","115","93"
"<1 years","Troup","177","0","5"
"Unknown years","Troup","3","0","0"
"01-04 years","Turner","21","0","0"
"05-09 years","Turner","29","0","1"
"10-17 years","Turner","57","0","2"
"18-29 years","Turner","216","0","7"
"30-39 years","Turner","223","1","16"
"40-49 years","Turner","202","1","11"
"50-59 years","Turner","175","2","20"
"60-69 years","Turner","136","11","37"
"70-79 years","Turner","77","15","22"
"80 & Older years","Turner","46","18","18"
"<1 years","Turner","20","0","1"
"01-04 years","Twiggs","31","0","1"
"05-09 years","Twiggs","24","0","1"
"10-17 years","Twiggs","76","0","1"
"18-29 years","Twiggs","163","0","3"
"30-39 years","Twiggs","150","1","5"
"40-49 years","Twiggs","153","2","14"
"50-59 years","Twiggs","205","4","30"
"60-69 years","Twiggs","197","13","48"
"70-79 years","Twiggs","104","18","40"
"80 & Older years","Twiggs","45","17","23"
"<1 years","Twiggs","5","0","0"
"01-04 years","Union","46","0","0"
"05-09 years","Union","86","0","0"
"10-17 years","Union","265","0","2"
"18-29 years","Union","615","1","8"
"30-39 years","Union","574","3","13"
"40-49 years","Union","545","2","24"
"50-59 years","Union","719","10","56"
"60-69 years","Union","898","23","91"
"70-79 years","Union","781","42","134"
"80 & Older years","Union","391","68","117"
"<1 years","Union","27","0","2"
"Unknown years","Union","16","0","0"
"01-04 years","Unknown","373","0","3"
"05-09 years","Unknown","547","0","0"
"10-17 years","Unknown","1116","0","1"
"18-29 years","Unknown","2367","0","9"
"30-39 years","Unknown","1602","0","10"
"40-49 years","Unknown","1516","0","8"
"50-59 years","Unknown","1196","0","10"
"60-69 years","Unknown","717","2","20"
"70-79 years","Unknown","348","0","17"
"80 & Older years","Unknown","159","1","16"
"<1 years","Unknown","229","0","6"
"Unknown years","Unknown","113","0","4"
"01-04 years","Upson","155","0","2"
"05-09 years","Upson","208","0","0"
"10-17 years","Upson","457","1","6"
"18-29 years","Upson","854","0","21"
"30-39 years","Upson","672","2","16"
"40-49 years","Upson","618","3","30"
"50-59 years","Upson","631","18","61"
"60-69 years","Upson","531","42","88"
"70-79 years","Upson","356","57","94"
"80 & Older years","Upson","190","59","70"
"<1 years","Upson","67","0","3"
"Unknown years","Upson","5","0","0"
"01-04 years","Walker","303","0","3"
"05-09 years","Walker","521","0","2"
"10-17 years","Walker","1342","0","12"
"18-29 years","Walker","2737","0","33"
"30-39 years","Walker","2212","2","34"
"40-49 years","Walker","2341","12","77"
"50-59 years","Walker","2114","17","91"
"60-69 years","Walker","1620","45","131"
"70-79 years","Walker","1046","64","134"
"80 & Older years","Walker","491","64","89"
"<1 years","Walker","130","0","6"
"Unknown years","Walker","29","0","3"
"01-04 years","Walton","344","0","19"
"05-09 years","Walton","559","0","24"
"10-17 years","Walton","1501","0","50"
"18-29 years","Walton","3146","3","199"
"30-39 years","Walton","2817","8","172"
"40-49 years","Walton","2830","13","217"
"50-59 years","Walton","2758","37","278"
"60-69 years","Walton","1853","67","316"
"70-79 years","Walton","1224","122","325"
"80 & Older years","Walton","720","149","258"
"<1 years","Walton","154","0","19"
"Unknown years","Walton","3","0","0"
"01-04 years","Ware","180","0","1"
"05-09 years","Ware","242","0","0"
"10-17 years","Ware","620","0","4"
"18-29 years","Ware","1170","3","22"
"30-39 years","Ware","964","4","40"
"40-49 years","Ware","876","5","62"
"50-59 years","Ware","788","35","138"
"60-69 years","Ware","607","42","131"
"70-79 years","Ware","438","57","147"
"80 & Older years","Ware","290","80","91"
"<1 years","Ware","69","0","2"
"Unknown years","Ware","7","0","0"
"01-04 years","Warren","12","0","0"
"05-09 years","Warren","17","0","1"
"10-17 years","Warren","50","0","1"
"18-29 years","Warren","141","0","4"
"30-39 years","Warren","107","0","6"
"40-49 years","Warren","99","3","9"
"50-59 years","Warren","99","3","11"
"60-69 years","Warren","79","3","14"
"70-79 years","Warren","65","8","18"
"80 & Older years","Warren","30","7","12"
"<1 years","Warren","10","0","1"
"Unknown years","Warren","1","0","0"
"01-04 years","Washington","119","0","0"
"05-09 years","Washington","162","0","0"
"10-17 years","Washington","403","1","5"
"18-29 years","Washington","591","0","8"
"30-39 years","Washington","526","2","16"
"40-49 years","Washington","487","6","16"
"50-59 years","Washington","454","10","21"
"60-69 years","Washington","376","18","40"
"70-79 years","Washington","190","15","32"
"80 & Older years","Washington","93","30","16"
"<1 years","Washington","44","0","0"
"Unknown years","Washington","1","0","0"
"01-04 years","Wayne","104","0","3"
"05-09 years","Wayne","183","0","1"
"10-17 years","Wayne","552","0","4"
"18-29 years","Wayne","1051","1","18"
"30-39 years","Wayne","982","7","25"
"40-49 years","Wayne","988","12","67"
"50-59 years","Wayne","886","27","74"
"60-69 years","Wayne","675","45","120"
"70-79 years","Wayne","474","48","134"
"80 & Older years","Wayne","216","44","62"
"<1 years","Wayne","54","0","3"
"Unknown years","Wayne","1","0","0"
"01-04 years","Webster","1","0","0"
"05-09 years","Webster","10","0","0"
"10-17 years","Webster","20","0","0"
"18-29 years","Webster","50","0","3"
"30-39 years","Webster","29","0","2"
"40-49 years","Webster","42","0","2"
"50-59 years","Webster","44","3","8"
"60-69 years","Webster","41","1","7"
"70-79 years","Webster","22","3","5"
"80 & Older years","Webster","9","2","3"
"<1 years","Webster","4","0","0"
"01-04 years","Wheeler","12","0","0"
"05-09 years","Wheeler","12","0","1"
"10-17 years","Wheeler","51","0","0"
"18-29 years","Wheeler","168","0","0"
"30-39 years","Wheeler","196","2","2"
"40-49 years","Wheeler","181","3","5"
"50-59 years","Wheeler","159","9","11"
"60-69 years","Wheeler","86","6","11"
"70-79 years","Wheeler","60","10","14"
"80 & Older years","Wheeler","17","5","2"
"<1 years","Wheeler","7","0","0"
"Unknown years","Wheeler","23","0","1"
"01-04 years","White","92","0","1"
"05-09 years","White","194","0","1"
"10-17 years","White","613","0","2"
"18-29 years","White","1072","2","17"
"30-39 years","White","859","3","13"
"40-49 years","White","968","8","40"
"50-59 years","White","1092","12","76"
"60-69 years","White","969","23","103"
"70-79 years","White","769","43","137"
"80 & Older years","White","407","56","111"
"<1 years","White","42","0","2"
"Unknown years","White","4","0","0"
"01-04 years","Whitfield","569","0","3"
"05-09 years","Whitfield","984","0","5"
"10-17 years","Whitfield","2916","0","14"
"18-29 years","Whitfield","6778","3","73"
"30-39 years","Whitfield","4676","7","94"
"40-49 years","Whitfield","4426","13","125"
"50-59 years","Whitfield","3999","61","195"
"60-69 years","Whitfield","2463","82","224"
"70-79 years","Whitfield","1461","104","217"
"80 & Older years","Whitfield","781","148","170"
"<1 years","Whitfield","253","0","6"
"Unknown years","Whitfield","1","0","0"
"01-04 years","Wilcox","30","0","1"
"05-09 years","Wilcox","34","0","1"
"10-17 years","Wilcox","67","0","0"
"18-29 years","Wilcox","122","0","2"
"30-39 years","Wilcox","111","0","3"
"40-49 years","Wilcox","126","0","13"
"50-59 years","Wilcox","127","2","20"
"60-69 years","Wilcox","133","11","31"
"70-79 years","Wilcox","80","12","14"
"80 & Older years","Wilcox","30","9","11"
"<1 years","Wilcox","11","0","1"
"01-04 years","Wilkes","17","0","1"
"05-09 years","Wilkes","34","0","0"
"10-17 years","Wilkes","95","0","1"
"18-29 years","Wilkes","214","1","9"
"30-39 years","Wilkes","148","0","7"
"40-49 years","Wilkes","176","1","21"
"50-59 years","Wilkes","162","5","17"
"60-69 years","Wilkes","147","9","35"
"70-79 years","Wilkes","98","10","32"
"80 & Older years","Wilkes","61","13","24"
"<1 years","Wilkes","13","0","2"
"01-04 years","Wilkinson","40","0","0"
"05-09 years","Wilkinson","58","0","0"
"10-17 years","Wilkinson","164","0","1"
"18-29 years","Wilkinson","306","0","5"
"30-39 years","Wilkinson","263","0","15"
"40-49 years","Wilkinson","261","0","11"
"50-59 years","Wilkinson","286","7","34"
"60-69 years","Wilkinson","245","20","54"
"70-79 years","Wilkinson","115","15","28"
"80 & Older years","Wilkinson","68","11","22"
"<1 years","Wilkinson","12","0","0"
"01-04 years","Worth","53","0","1"
"05-09 years","Worth","93","0","1"
"10-17 years","Worth","239","1","6"
"18-29 years","Worth","459","1","23"
"30-39 years","Worth","352","0","20"
"40-49 years","Worth","336","4","27"
"50-59 years","Worth","334","9","43"
"60-69 years","Worth","322","26","79"
"70-79 years","Worth","195","26","58"
"80 & Older years","Worth","114","28","41"
"<1 years","Worth","23","0","0"
"Unknown years","Worth","2","0","0"
