date,wrf,influent_flow_mg,influent_tss_mg_l
5/24/2021,MI ,3.19,188
5/24/2021,CC,1.77,232
5/26/2021,NO ,5.01,204
5/26/2021,MI ,3.1,100
5/26/2021,CC,1.53,260
6/1/2021,NO ,3.55,390
6/1/2021,MI ,3.17,212
6/1/2021,CC,1.52,312
6/2/2021,NO ,4.66,406
6/2/2021,MI ,3.9,84
6/2/2021,CC,1.56,216
6/7/2021,NO ,4.82,332
6/7/2021,MI ,3.25,228
6/7/2021,CC,1.57,108
6/9/2021,NO ,5.23,552
6/9/2021,MI ,3.36,228
6/9/2021,CC,1.59,580
6/14/2021,NO ,4.75,164
6/14/2021,MI ,3.15,136
6/14/2021,CC,1.54,192
6/16/2021,NO ,4.91,222
6/16/2021,MI ,2.99,224
6/16/2021,CC,1.61,184
6/21/2021,NO ,5.13,134
6/21/2021,MI ,3.37,184
6/21/2021,CC,1.59,144
6/23/2021,NO ,5.24,256
6/23/2021,MI ,3.24,116
6/23/2021,CC,1.49,500
6/28/2021,NO ,4.84,212
6/28/2021,MI ,3.12,184
6/28/2021,CC,1.56,216
6/30/2021,NO ,5.26,232
6/30/2021,MI ,3.03,176
6/30/2021,CC,1.66,572
7/6/2021,NO ,4.91,187
7/6/2021,MI ,2.9,272
7/6/2021,CC,1.87,96
7/7/2021,NO ,5.03,182
7/7/2021,MI ,2.96,220
7/7/2021,CC,1.67,278
7/12/2021,NO ,4.9,260
7/12/2021,MI ,3.17,82
7/12/2021,CC,1.71,236
7/14/2021,NO ,5.91,178
7/14/2021,MI ,3.23,84
7/14/2021,CC,1.73,180
7/19/2021,NO ,4.88,144
7/19/2021,MI ,3.25,248
7/19/2021,CC,1.74,92
7/21/2021,NO ,5.9,244
7/21/2021,MI ,3.93,232
7/21/2021,CC,1.85,336
7/26/2021,NO ,5.09,364
7/26/2021,MI ,3.15,196
7/26/2021,CC,1.96,516
7/28/2021,NO ,5.33,142
7/28/2021,MI ,3.08,200
7/28/2021,CC,1.52,204
8/2/2021,NO ,4.89,244
8/2/2021,MI ,2.98,232
8/2/2021,CC,1.54,160
8/4/2021,NO ,5.28,288
8/4/2021,MI ,3.16,304
8/4/2021,CC,1.74,160
8/9/2021,NO ,5.27,114
8/9/2021,MI ,3.13,260
8/9/2021,CC,1.54,118
8/11/2021,NO ,5.64,218
8/11/2021,MI ,3.59,188
8/11/2021,CC,1.52,40
8/16/2021,NO ,5.78,210
8/16/2021,MI ,3.45,76
